method,split,seed,precision,recall,f1,accuracy,false_positive_rate,flag_rate,positive_rate,episodes,seeds
kinematic_residual_threshold,nominal_valid,0,0.0000,0.0000,0.0000,0.6667,0.3333,0.3333,0.0000,12,1
kinematic_residual_threshold,nominal_valid,1,0.0000,0.0000,0.0000,0.6667,0.3333,0.3333,0.0000,12,1
kinematic_residual_threshold,nominal_valid,2,0.0000,0.0000,0.0000,0.5833,0.4167,0.4167,0.0000,12,1
kinematic_residual_threshold,nominal_valid,3,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,12,1
kinematic_residual_threshold,nominal_valid,4,0.0000,0.0000,0.0000,0.9167,0.0833,0.0833,0.0000,12,1
kinematic_residual_threshold,noncausal_teleport,0,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
kinematic_residual_threshold,noncausal_teleport,1,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
kinematic_residual_threshold,noncausal_teleport,2,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
kinematic_residual_threshold,noncausal_teleport,3,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
kinematic_residual_threshold,noncausal_teleport,4,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
kinematic_residual_threshold,support_levitation,0,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
kinematic_residual_threshold,support_levitation,1,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
kinematic_residual_threshold,support_levitation,2,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
kinematic_residual_threshold,support_levitation,3,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
kinematic_residual_threshold,support_levitation,4,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
oracle_violation_labels,actuator_saturation,0,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
oracle_violation_labels,actuator_saturation,1,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
oracle_violation_labels,actuator_saturation,2,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
oracle_violation_labels,actuator_saturation,3,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
oracle_violation_labels,actuator_saturation,4,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
oracle_violation_labels,combined_violation_shift,0,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
oracle_violation_labels,combined_violation_shift,1,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
oracle_violation_labels,combined_violation_shift,2,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
oracle_violation_labels,combined_violation_shift,3,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
oracle_violation_labels,combined_violation_shift,4,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
oracle_violation_labels,contact_corruption,0,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
oracle_violation_labels,contact_corruption,1,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
oracle_violation_labels,contact_corruption,2,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
oracle_violation_labels,contact_corruption,3,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
oracle_violation_labels,contact_corruption,4,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
oracle_violation_labels,energy_work_corruption,0,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
oracle_violation_labels,energy_work_corruption,1,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
oracle_violation_labels,energy_work_corruption,2,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
oracle_violation_labels,energy_work_corruption,3,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
oracle_violation_labels,energy_work_corruption,4,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
oracle_violation_labels,nominal_valid,0,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,12,1
oracle_violation_labels,nominal_valid,1,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,12,1
oracle_violation_labels,nominal_valid,2,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,12,1
oracle_violation_labels,nominal_valid,3,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,12,1
oracle_violation_labels,nominal_valid,4,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,12,1
oracle_violation_labels,noncausal_teleport,0,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
oracle_violation_labels,noncausal_teleport,1,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
oracle_violation_labels,noncausal_teleport,2,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
oracle_violation_labels,noncausal_teleport,3,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
oracle_violation_labels,noncausal_teleport,4,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
oracle_violation_labels,support_levitation,0,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
oracle_violation_labels,support_levitation,1,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
oracle_violation_labels,support_levitation,2,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
oracle_violation_labels,support_levitation,3,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
oracle_violation_labels,support_levitation,4,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
physics_violation_audit,actuator_saturation,0,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
physics_violation_audit,actuator_saturation,1,1.0000,0.9167,0.9565,0.9167,0.0000,0.9167,1.0000,12,1
physics_violation_audit,actuator_saturation,2,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
physics_violation_audit,actuator_saturation,3,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
physics_violation_audit,actuator_saturation,4,1.0000,0.9167,0.9565,0.9167,0.0000,0.9167,1.0000,12,1
physics_violation_audit,combined_violation_shift,0,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
physics_violation_audit,combined_violation_shift,1,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
physics_violation_audit,combined_violation_shift,2,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
physics_violation_audit,combined_violation_shift,3,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
physics_violation_audit,combined_violation_shift,4,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,12,1
physics_violation_audit,contact_corruption,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,12,1
physics_violation_audit,contact_corruption,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,12,1
physics_violation_audit,contact_corruption,2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,12,1
physics_violation_audit,contact_corruption,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,12,1
